,I1,C2,data_updated,industry_bin,C3_prime
544,SNTA,1.0,1,Manufacturing,0
545,SOLR,1.0,0,Manufacturing,0
546,SOMX,1.0,1,Manufacturing,0
547,SPLK,1.0,0,Services,0
548,SPWR,1.0,0,Manufacturing,0
549,SQI,0.0,0,Services,1
550,SREV,1.0,0,Services,0
551,SRVY,1.0,0,Services,1
552,SSNC,1.0,0,Services,1
553,SSNI,1.0,0,Manufacturing,0
554,SSTK,1.0,0,Services,1
555,ST,1.0,0,Manufacturing,0
556,STAK,1.0,0,Manufacturing,1
557,STAR,1.0,0,Manufacturing,0
558,STNG,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
559,STRI,1.0,0,Manufacturing,1
561,STXS,1.0,0,Manufacturing,0
562,SUSS,1.0,0,Retail Trade,0
563,SVR,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
564,SWFT,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
565,SWI,1.0,0,Services,1
566,SWSI,0.0,0,Mining,1
567,SXC,1.0,0,Manufacturing,1
568,SXE,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
569,SZYM,1.0,1,Manufacturing,0
570,TARG,1.0,1,Manufacturing,0
571,TAST,1.0,0,Retail Trade,0
572,TBSI,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
573,TDG,1.0,0,Manufacturing,1
574,TEA,1.0,0,Retail Trade,1
575,TEU,1.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
576,TFM,1.0,0,Retail Trade,1
577,TGH,1.0,0,Services,1
578,THLD,1.0,1,Manufacturing,0
579,THR,1.0,0,Manufacturing,1
580,THRM,1.0,0,Manufacturing,0
581,THRX,1.0,0,Manufacturing,0
582,TIS,0.0,0,Manufacturing,1
583,TITN,0.0,0,Wholesale Trade,1
584,TLEO,1.0,0,Services,0
585,TLVT,1.0,0,Services,1
586,TMH,1.0,0,Services,1
587,TNAV,1.0,0,Services,1
588,TNDM,1.0,0,Manufacturing,0
589,TNK,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
590,TOWR,1.0,0,Manufacturing,0
591,TRAK,1.0,0,Services,1
592,TRBN,1.0,0,Manufacturing,0
593,TRCA,1.0,1,Manufacturing,0
594,TRFC,1.0,0,Services,0
595,TRGT,1.0,0,Manufacturing,0
596,TRLA,1.0,0,Services,0
598,TRS,1.0,0,Manufacturing,0
599,TRW,1.0,1,Manufacturing,0
600,TRX,1.0,0,Manufacturing,0
601,TRXI,1.0,0,Services,1
602,TSLA,1.0,0,Manufacturing,0
603,TSON,1.0,0,Manufacturing,0
604,TSRA,1.0,0,Manufacturing,0
605,TSRO,1.0,1,Manufacturing,0
606,TSRX,1.0,0,Manufacturing,0
607,TTGT,1.0,0,Services,1
608,TTPH,1.0,0,Manufacturing,0
609,TTPY,1.0,0,Manufacturing,1
610,TUMI,1.0,0,Manufacturing,1
611,TWLL,1.0,0,Manufacturing,1
612,TXRH,1.0,0,Retail Trade,1
613,TYPE,1.0,0,Services,1
616,UACL,0.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
617,UAPH,1.0,0,Manufacturing,1
618,UBNT,1.0,0,Manufacturing,0
619,UNCA,1.0,0,Services,1
620,UPG,0.0,0,Other,1
621,USBE,1.0,0,Manufacturing,0
622,V,1.0,0,Services,0
623,VCC,0.0,1,Manufacturing,0
624,VCG,1.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
625,VCRA,1.0,0,Manufacturing,0
626,VG,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
627,VIAC,1.0,0,Services,0
628,VITC,0.0,0,Services,0
629,VLCM,0.0,0,Manufacturing,1
630,VLRX,1.0,0,Manufacturing,0
631,VM,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
632,VNDA,1.0,1,Manufacturing,0
633,VNTV,1.0,0,Services,1
634,VNUS,1.0,0,Manufacturing,0
635,VOCS,1.0,0,Services,0
636,VOLC,1.0,0,Manufacturing,0
637,VPRT,1.0,0,Manufacturing,1
638,VQ,1.0,0,Mining,1
639,VRA,1.0,0,Manufacturing,1
640,VRAD,1.0,0,Services,0
641,VRAZ,1.0,0,Services,0
642,VRGY,1.0,0,Manufacturing,0
643,VRSK,1.0,0,Services,1
644,VRTU,1.0,0,Services,1
645,VSE,1.0,0,Manufacturing,0
646,VSI,1.0,0,Retail Trade,1
647,VSTM,1.0,1,Manufacturing,0
648,VTUS,0.0,1,Manufacturing,0
649,WAGE,0.0,0,Services,1
650,WAIR,1.0,0,Manufacturing,1
651,WBMD,1.0,0,Services,1
652,WCAA,0.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
